"id","vignette","structure","p_C","p_A","cause","conf","attn_check","duration","age","sex"
"R_C7zhnrPBuwIccN3","cards","dis",0.9,0.7,0.731,0.706,"Yes.",2.61666666666667,25,"Female"
"R_C7zhnrPBuwIccN3","casino","con",0.1,0.2,0,0.241,"Yes.",2.61666666666667,25,"Female"
"R_C7zhnrPBuwIccN3","chores","con",0.8,0.5,0.992,0.37,"Yes.",2.61666666666667,25,"Female"
"R_C7zhnrPBuwIccN3","ducks","con",0.1,0.8,0.689,0.396,"Yes.",2.61666666666667,25,"Female"
"R_C7zhnrPBuwIccN3","fruit","dis",0.7,0.2,0.639,0,"Yes.",2.61666666666667,25,"Female"
"R_C7zhnrPBuwIccN3","wheels","con",0.7,0.6,0.154,0.904,"Yes.",2.61666666666667,25,"Female"
"R_BsNM0tPv7aXFRlv","cards","con",0.6,0.1,1,1,"No, I had trouble paying attention.",5.73333333333333,29,"Male"
"R_BsNM0tPv7aXFRlv","casino","con",0.2,1,1,1,"No, I had trouble paying attention.",5.73333333333333,29,"Male"
"R_BsNM0tPv7aXFRlv","chores","con",0.2,0.5,1,1,"No, I had trouble paying attention.",5.73333333333333,29,"Male"
"R_BsNM0tPv7aXFRlv","ducks","dis",0.9,0.6,1,1,"No, I had trouble paying attention.",5.73333333333333,29,"Male"
"R_BsNM0tPv7aXFRlv","fruit","dis",0.4,0.1,1,1,"No, I had trouble paying attention.",5.73333333333333,29,"Male"
"R_BsNM0tPv7aXFRlv","wheels","dis",0.7,0.2,1,1,"No, I had trouble paying attention.",5.73333333333333,29,"Male"
"R_3KUbLGwMGdYdt8I","cards","con",0.2,0.2,0.89,0.87,"Yes.",5.43333333333333,21,"Female"
"R_3KUbLGwMGdYdt8I","casino","con",0.8,0.2,0.921,0.913,"Yes.",5.43333333333333,21,"Female"
"R_3KUbLGwMGdYdt8I","chores","dis",0.1,0.9,1,0.701,"Yes.",5.43333333333333,21,"Female"
"R_3KUbLGwMGdYdt8I","ducks","con",0.2,0.5,0.88,0.869,"Yes.",5.43333333333333,21,"Female"
"R_3KUbLGwMGdYdt8I","fruit","dis",0.7,0.5,0.859,0.854,"Yes.",5.43333333333333,21,"Female"
"R_3KUbLGwMGdYdt8I","wheels","con",0.5,0.3,0.768,0.772,"Yes.",5.43333333333333,21,"Female"
"R_2y3ljyt2qN4DWU9","cards","con",0.3,0.4,0.649,1,"Yes.",9.13333333333333,29,"Male"
"R_2y3ljyt2qN4DWU9","casino","dis",0.3,0.3,0.472,1,"Yes.",9.13333333333333,29,"Male"
"R_2y3ljyt2qN4DWU9","chores","dis",1,1,0,1,"Yes.",9.13333333333333,29,"Male"
"R_2y3ljyt2qN4DWU9","ducks","con",1,0.2,0,1,"Yes.",9.13333333333333,29,"Male"
"R_2y3ljyt2qN4DWU9","fruit","dis",0.4,0.7,0.251,0.931,"Yes.",9.13333333333333,29,"Male"
"R_2y3ljyt2qN4DWU9","wheels","dis",0.3,0.9,0,1,"Yes.",9.13333333333333,29,"Male"
"R_5BDmhw8Xp8aM1r3","cards","con",0.4,1,1,1,"Yes.",2.93333333333333,32,"Female"
"R_5BDmhw8Xp8aM1r3","casino","con",0.1,0.3,1,1,"Yes.",2.93333333333333,32,"Female"
"R_5BDmhw8Xp8aM1r3","chores","dis",0.4,0.7,1,1,"Yes.",2.93333333333333,32,"Female"
"R_5BDmhw8Xp8aM1r3","ducks","dis",0.2,0.4,1,1,"Yes.",2.93333333333333,32,"Female"
"R_5BDmhw8Xp8aM1r3","fruit","con",0.4,0.6,1,1,"Yes.",2.93333333333333,32,"Female"
"R_5BDmhw8Xp8aM1r3","wheels","dis",0.6,0.7,1,1,"Yes.",2.93333333333333,32,"Female"
"R_3JfMnB3C4PDFwx6","cards","con",0.1,0.7,0.852,1,"Yes.",3.68333333333333,32,"Female"
"R_3JfMnB3C4PDFwx6","casino","con",0.4,0.6,0.84,1,"Yes.",3.68333333333333,32,"Female"
"R_3JfMnB3C4PDFwx6","chores","dis",0.2,0.8,0.874,1,"Yes.",3.68333333333333,32,"Female"
"R_3JfMnB3C4PDFwx6","ducks","dis",0.9,0.3,0.812,1,"Yes.",3.68333333333333,32,"Female"
"R_3JfMnB3C4PDFwx6","fruit","con",0.4,0.4,0.788,1,"Yes.",3.68333333333333,32,"Female"
"R_3JfMnB3C4PDFwx6","wheels","con",0.9,0.7,0.778,1,"Yes.",3.68333333333333,32,"Female"
"R_1mVtL1BQPwZ7zG2","cards","con",0.5,0.6,0.78,0.695,"Yes.",10.6666666666667,46,"Female"
"R_1mVtL1BQPwZ7zG2","casino","dis",0.3,0.7,0.522,0.78,"Yes.",10.6666666666667,46,"Female"
"R_1mVtL1BQPwZ7zG2","chores","dis",0.5,0.1,0.722,0.821,"Yes.",10.6666666666667,46,"Female"
"R_1mVtL1BQPwZ7zG2","ducks","con",0.9,0.2,0.208,0.698,"Yes.",10.6666666666667,46,"Female"
"R_1mVtL1BQPwZ7zG2","fruit","dis",0.6,0.1,0.741,0.663,"Yes.",10.6666666666667,46,"Female"
"R_1mVtL1BQPwZ7zG2","wheels","dis",0.3,0.5,0.528,0.757,"Yes.",10.6666666666667,46,"Female"
"R_1QgZ1HwLFP1wEaG","cards","con",0.9,0.6,0.752,0.369,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","casino","con",0.8,0.8,0.377,0.824,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","chores","dis",0.6,0.2,0.649,0.397,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","ducks","con",0.8,0.8,0.801,0.868,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","fruit","con",0.4,0.9,0.306,0.782,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","wheels","con",1,0.1,0.272,0.585,"Yes.",2.8,21,"Male"
"R_2COMgmvULBfafat","cards","con",0.4,0.1,0.41,0.173,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","casino","dis",0.2,0.5,1,1,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","chores","con",0.2,0.3,0.856,0.851,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","ducks","con",1,0.2,0.275,0.211,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","fruit","con",0.5,0.1,1,1,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","wheels","dis",0.9,0.2,0.62,0.414,"Yes.",3.11666666666667,33,"Female"
"R_DhOhSwR3tBDOGAh","cards","dis",0.3,1,0,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","casino","con",0.5,0.3,0.392,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","chores","dis",0.1,0.3,0.925,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","ducks","dis",0.8,0.4,0.845,0.973,"Yes.",4.66666666666667,30,"Male"
