StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,InformedConsent,Instruct2_1,Instruct8_1,cards_con_cause_1,cards_con_conf_1,cards_dis_cause_1,cards_dis_conf_1,casino_con_cause_1,casino_con_conf_1,casino_dis_cause_1,casino_dis_conf_1,chores_con_cause_1,chores_con_conf_1,chores_dis_cause_1,chores_dis_conf_1,ducks_con_cause_1,ducks_con_conf_1,ducks_dis_cause_1,ducks_dis_conf_1,fruit_con_cause_1,fruit_con_conf_1,fruit_dis_cause_1,fruit_dis_conf_1,wheels_con_cause_1,wheels_con_conf_1,wheels_dis_cause_1,wheels_dis_conf_1,Age,Sex,AttnCheck,PROLIFIC_PID,STUDY_ID,SESSION_ID,cards_probC,cards_probA,casino_probC,casino_probA,chores_probC,chores_probA,ducks_probC,ducks_probA,fruit_probC,fruit_probA,wheels_probC,wheels_probA
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome to Our Study!   


This consent form asks you to take part in a research study. The study is being conducted by Felipe De Brigard, PhD., associate professor at the Department of Philosophy, the Center for Cognitive Neuroscience, and the Duke Institute for Brain Sciences.

 

Purpose: This research study seeks to help us understand how humans make causal judgments.

 

What you will be asked to do: This research study consists of one session. You will be asked to read one or more scenarios that follow a series of events in a fictional story. Then you will be asked to answer some questions about the story. The total time for participating in this research study is expected to take between 3-10 minutes. At the end of the study you will be paid at a prorated rate of $9/hr (the total of which is made available on this study’s sign up page). Participation in this study is voluntary, and you can stop at any time without penalty, but you will only be compensated for your time if you get to the end of the study and submit your results. To withdraw from the study, close your browser window.


 

How your confidentiality will be maintained: If you choose to  participate, your name will not  be linked to your responses at any time, and there is no link between this consent form and your responses. All data will be securely saved at all times. All data we keep will be de-identified, indefinitely.

 

Future use of data: Your de-identified data (data without your name), together with de-identified data from other participants in the experiment, might be made publicly available, will be shared with other researchers as a requirement of publication and funding, and might be used for future research purposes.

 

Benefits and Risks: This research will not benefit you personally. The researcher will be happy to discuss the details of the study with you in detail at its completion.  We know of no risks to you for participating in this study.  

 

If you have any questions about this research, please contact the IMC Lab at imagination-study@duke.edu if you have any questions. For questions about your rights in this study, contact the Duke IRB at campusirb@duke.edu

 

Clicking Accept: By clicking on the “I consent” button, you indicate that you are 18 years of age or older, that you voluntarily agree to participate in this study and that you understand the information in this consent form. You have not waived any legal rights you otherwise would have as a participant in a research study.

 

imagination-study@duke.edu

Protocol: E0089",To what degree did X happen because Y happened?,How confident are you in your response to the previous question?,To what degree did Rebecca pay for everyone’s drinks because she picked a card of hearts from the left deck?,How confident are you in your response to the previous question?,To what degree did Rebecca pay for everyone’s drinks because she picked a card of hearts from the left deck?,How confident are you in your response to the previous question?,To what degree did Joe win the dollar because he drew a green ball from the left box?,How confident are you in your response to the previous question?,To what degree did Joe win the dollar because he drew a green ball from the left box?,How confident are you in your response to the previous question?,To what degree did Victor do the chores this week because he drew an odd number from the hat on the left?,How confident are you in your response to the previous question?,To what degree did Victor do the chores this week because he drew an odd number from the hat on the left?,How confident are you in your response to the previous question?,To what degree did Frida win the stuffed animal because she chose a duck with a black sticker on the bottom from the left table?,How confident are you in your response to the previous question?,To what degree did Frida win the stuffed animal because she chose a duck with a black sticker on the bottom from the left table?,How confident are you in your response to the previous question?,To what degree did Isaac and June win the restaurant coupon because Isaac pulled a green apple from the left barrel?,How confident are you in your response to the previous question?,To what degree did Isaac and June win the restaurant coupon because Isaac pulled a green apple from the left barrel?,How confident are you in your response to the previous question?,To what degree did Beth tell her friends an embarrassing story about herself because the wheel on the left landed on red?,How confident are you in your response to the previous question?,To what degree did Beth tell her friends an embarrassing story about herself because the wheel on the left landed on red?,How confident are you in your response to the previous question?,Current Age:,What is your sex?,"Please be honest when answering the following question. Your answer will not affect your payment or eligibility for future studies.



 



The study you have just participated in is a psychological study aimed at understanding human cognition and behavior. Psychological research depends on participants like you. Your responses to surveys like this one are an incredibly valuable source of data for researchers. It is therefore crucial for research that participants pay attention, avoid distractions, and take all study tasks seriously (even when they might seem silly).



 



Do you feel that you paid attention, avoided distractions, and took this survey seriously?",PROLIFIC_PID,STUDY_ID,SESSION_ID,cards_probC,cards_probA,casino_probC,casino_probA,chores_probC,chores_probA,ducks_probC,ducks_probA,fruit_probC,fruit_probA,wheels_probC,wheels_probA
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID313_1""}","{""ImportId"":""QID314_1""}","{""ImportId"":""QID316_1""}","{""ImportId"":""QID317_1""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID307_1""}","{""ImportId"":""QID310_1""}","{""ImportId"":""QID311_1""}","{""ImportId"":""QID319_1""}","{""ImportId"":""QID320_1""}","{""ImportId"":""QID322_1""}","{""ImportId"":""QID323_1""}","{""ImportId"":""QID325_1""}","{""ImportId"":""QID326_1""}","{""ImportId"":""QID328_1""}","{""ImportId"":""QID329_1""}","{""ImportId"":""QID331_1""}","{""ImportId"":""QID332_1""}","{""ImportId"":""QID334_1""}","{""ImportId"":""QID335_1""}","{""ImportId"":""QID337_1""}","{""ImportId"":""QID338_1""}","{""ImportId"":""QID340_1""}","{""ImportId"":""QID341_1""}","{""ImportId"":""QID232_TEXT""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""cards_probC""}","{""ImportId"":""cards_probA""}","{""ImportId"":""casino_probC""}","{""ImportId"":""casino_probA""}","{""ImportId"":""chores_probC""}","{""ImportId"":""chores_probA""}","{""ImportId"":""ducks_probC""}","{""ImportId"":""ducks_probA""}","{""ImportId"":""fruit_probC""}","{""ImportId"":""fruit_probA""}","{""ImportId"":""wheels_probC""}","{""ImportId"":""wheels_probA""}"
2021-03-25 13:48:24,2021-03-25 13:51:01,IP Address,97.101.76.220,100,157,True,2021-03-25 13:51:02,R_C7zhnrPBuwIccN3,,,,,29.5554046630859375,-81.220703125,anonymous,EN,I consent. Begin the study.,1,0,,,0.731,0.706,0,0.241,,,0.992,0.37,,,0.689,0.396,,,,,0.639,0,0.154,0.904,,,25,Female,Yes.,60466ff6b440ae04b0533cd7,605b6ee6691599ae7a55f84e,605ce9038bffb2e0aa8985ce,9,7,1,2,8,5,1,8,7,2,7,6
2021-03-25 13:56:43,2021-03-25 14:02:28,IP Address,66.196.21.245,100,344,True,2021-03-25 14:02:29,R_BsNM0tPv7aXFRlv,,,,,29.4873046875,-98.4532012939453125,anonymous,EN,I consent. Begin the study.,1,0,1,1,,,1,1,,,1,1,,,,,1,1,,,1,1,,,1,1,29,Male,"No, I had trouble paying attention.",5bbcc0aa56161d000100f666,605b6ee6691599ae7a55f84e,605ceaf947084c916ad7a626,6,1,2,10,2,5,9,6,4,1,7,2
2021-03-25 13:59:07,2021-03-25 14:04:34,IP Address,73.47.243.76,100,326,True,2021-03-25 14:04:34,R_3KUbLGwMGdYdt8I,,,,,43.1887969970703125,-70.88680267333984375,anonymous,EN,I consent. Begin the study.,1,0,0.89,0.87,,,0.921,0.913,,,,,1,0.701,0.88,0.869,,,,,0.859,0.854,0.768,0.772,,,21,Female,Yes.,5fab1250e795e95cace69301,605b6ee6691599ae7a55f84e,605ceb858f7c903ee6d09d44,2,2,8,2,1,9,2,5,7,5,5,3
2021-03-25 14:08:28,2021-03-25 14:17:37,IP Address,66.69.235.245,100,548,True,2021-03-25 14:17:37,R_2y3ljyt2qN4DWU9,,,,,30.1746063232421875,-97.8202972412109375,anonymous,EN,I consent. Begin the study.,1,0,0.649,1,,,,,0.472,1,,,0,1,0,1,,,,,0.251,0.931,,,0,1,29,Male,Yes.,5fe23b6fd71cab595d23f9e5,605b6ee6691599ae7a55f84e,605cedb8d6f26e09c7f97af2,3,4,3,3,10,10,10,2,4,7,3,9
2021-03-25 14:19:21,2021-03-25 14:22:17,IP Address,68.63.29.151,100,176,True,2021-03-25 14:22:18,R_5BDmhw8Xp8aM1r3,,,,,29.9665069580078125,-83.65940093994140625,anonymous,EN,I consent. Begin the study.,1,0,1,1,,,1,1,,,,,1,1,,,1,1,1,1,,,,,1,1,32,Female,Yes.,5c0d3e8a217d600001125317,605b6ee6691599ae7a55f84e,605cf045ce905dbb3f2c8ef8,4,10,1,3,4,7,2,4,4,6,6,7
2021-03-25 14:22:37,2021-03-25 14:26:18,IP Address,76.124.24.233,100,221,True,2021-03-25 14:26:23,R_3JfMnB3C4PDFwx6,,,,,40.1262054443359375,-75.52680206298828125,anonymous,EN,I consent. Begin the study.,1,0,0.852,1,,,0.84,1,,,,,0.874,1,,,0.812,1,0.788,1,,,0.778,1,,,32,Female,Yes.,5ea749262a23e31252937fc9,605b6ee6691599ae7a55f84e,605cf106b98125836d335d74,1,7,4,6,2,8,9,3,4,4,9,7
2021-03-25 14:16:42,2021-03-25 14:27:22,IP Address,71.150.113.109,100,640,True,2021-03-25 14:27:22,R_1mVtL1BQPwZ7zG2,,,,,41.4557952880859375,-81.78150177001953125,anonymous,EN,I consent. Begin the study.,1,0,0.78,0.695,,,,,0.522,0.78,,,0.722,0.821,0.208,0.698,,,,,0.741,0.663,,,0.528,0.757,46,Female,Yes.,5f9810744bc1cf05b77dc1d9,605b6ee6691599ae7a55f84e,605cef91761dc4fc9ed05354,5,6,3,7,5,1,9,2,6,1,3,5
2021-03-25 14:31:42,2021-03-25 14:34:31,IP Address,173.94.128.166,100,168,True,2021-03-25 14:34:31,R_1QgZ1HwLFP1wEaG,,,,,36.1053009033203125,-79.87619781494140625,anonymous,EN,I consent. Begin the study.,1,0,0.752,0.369,,,0.377,0.824,,,,,0.649,0.397,0.801,0.868,,,0.306,0.782,,,0.272,0.585,,,21,Male,Yes.,5e9bbcf64bf5310d6b656009,605b6ee6691599ae7a55f84e,605cf3117cf4acfa40999c01,9,6,8,8,6,2,8,8,4,9,10,1
